Date / Time,City,State,Shape,Duration,Summary,Posted
9/17/21 22:10,Laguna Hills,CA,Light,15 minutes,"At 10:10 pm I walked outside, scattered clouds in sky.  Clouds were moving slowly sideways.  Behind the cloud above my head were 3 circ",
9/17/21 22:00,Livingston,TN,Diamond,7 minutes,"Diamond/Prism object, spinning on an axis. Lasted 7-9 minutes joined by darker than night mother ship and then another diamond Prism jo",
9/17/21 21:25,Moses Lake,WA,Circle,15 seconds,Circles and in wierd positions,
9/17/21 18:15,Ottawa (Canada),ON,Flash,~30 seconds,Object seemingly moves in two directions at once while brightening and dimming.,
9/16/21 19:45,Pocatello,ID,Light,25 minutes,Glowing light swoops down lands atop mountain emits bright lights then chased off by 6 silent helicopters with green lights,
9/16/21 19:14,Hudson Falls,NY,Oval,60 seconds,Shiny / metallic orange - red colored oval flying over Hudson Falls witnessed by retired LEO,
9/16/21 19:00,Tucson,AZ,Formation,17 minutes,"Strange circle formation of lights observed above Tucson, AZ hovering and moving northeast towards Oracle, AZ.",
9/16/21 00:20,Brick,NJ,Sphere,5 mintes,Two reddish orange spheres very visible that travels as fast speeds.,
9/15/21 20:45,Lake Sumter Landing,FL,Light,8,"On this evening it was dark and partly cloudy. While listening to a live band outside and watching the SpaceX launch live on my phone,",
9/15/21 20:30,Grand Junction,CO,Light,1.5 minutes,Atmosphere entering Tracer Fire lights,
9/15/21 20:06,Port Saint Lucie,FL,,5 minutes,((NUFORC Note:  Witness provides no detailed information.  PD)),
9/15/21 20:00,Vero Beach,FL,Changing,10 minutes,((NUFORC Note:  Witness provides no detailed information.  PD)),
9/15/21 18:30,Clearwater,FL,Light,1.5 minutes,There was one big really bright light Lighting up the clouds and beside it was A smaller less bright light that was admitting beams of,
9/15/21 16:30,Norfolk,VA,Light,1 minute,"White Orb seen traveling across sky, which then slowed, stopped, and then traveled away in different direction fading into distance.",
9/15/21 10:23,Jacksonville,NC,Light,3 minutes,"Very bright light,No noise led and followed by two other crafts",
9/15/21 08:30,Sycamore,IL,Circle,20 seconds,"Looked up at a piper plane traveling south of my home. As I looked at it to the west a beam of light, like headlights lit up a pathway",
9/15/21 06:00,Staunton,VA,Unknown,15 minutes,"Southern sky, slightly east about 11 o'clock. Noticed wavering light within a small area in the sky that looked like wavy light or an a",
9/15/21 03:00,Liverpool,NY,Unknown,15 minutes,I saw something strange white mostly in color and I have 3 pictures of object changing courses and shape,
9/15/21 00:00,Canby,OR,Other,Multiple hours,For multiple nights on clear nights I am able to observe to the west what appears to be a floating pyramid with just the outside edges,
9/14/21 21:00,Alto,NM,Light,6 seconds,"Four mysterious, large lights appear in night sky over Alto New Mexico.",
9/14/21 21:00,St. Petersburg,FL,Light,45 seconds,Two lights hovering and interacting in a controlled manner.,
9/14/21 20:43,Cornwall (Canada),ON,Oval,5 minutes,"On September 13th 2021 approximately 8:40 p.m. witnessed above the sky in Eastern Ontario Canada. multiple objects, multiple colors, mu",
9/13/21 22:53,Palm Springs,CA,Triangle,20 seconds,It was sitting on saddle junction mountain to the southwest side. We had never seen such a huge bright light. Was the size of at least,
9/13/21 22:30,Temple Terrace,FL,Light,20 minutes,"I witnessed multiple strange white lights moving above me, in cloud cover on the evening of 09-12-2021 in the city of Temple Terrace, F",
9/13/21 21:00,Litchfield park,AZ,Circle,30,West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.,
9/13/21 15:28,Whittier,CA,Light,1 minute 38 seconds,On September 13th at around 3:28 pm I witnessed 2 ufo as a flock of white doves flew around the cemetery. I took out my phone and caugh,
9/13/21 03:15,Apache Junction,AZ,Disk,Still happening,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.,
9/13/21 03:15,Apache Junction,AZ,Disk,Still happening,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.,
9/12/21 00:00,Cornwallville,NY,Cigar,1 second,Cigar shaped flash of light Quarter mile ahead at 5:47am,
9/12/21 21:03,Kings Park,NY,Circle,1 minute 6 sec,I was at The Pavilion in Sunken Meadow State Park (NY) for my daughters wedding on 9/12/21. It was 9:03pm and I was pushing my granddau,
9/12/21 20:10,Oshawa (Canada),ON,Triangle,5 minutes,Initially hoved with a bright light then made lateral movements disappeared and reappeared,
9/12/21 18:00,Dallas,TX,Cigar,60 seconds,"White fast moving “tic Tac” like object flying over Dallas , completely silent",
9/12/21 07:59,West Fallowfield,PA,Chevron,2 minutes,Chevron shaped object hovered and disappeared in broad daylight,
9/12/21 03:00,Meadville,PA,Sphere,Still actually,"They're characters in the form of spheres, plazma-like entities (both are in few or more different sizes)plazma-like ones are in multip",
9/12/21 01:11,Kalamazoo,MI,Disk,30 seconds,"Black disc shaped craft with a row of bright red, blue and green bright lights around the disc hovered low and made no noise.",
9/11/21 22:05,Lake Worth,FL,Chevron,15 seconds,Chevron or Boomerang-shaped sighting over Florida Sep 11 2021,
9/11/21 21:10,Westbrook,CT,Cigar,1 minute,Bright circular light hovering in woods at eye level and then “turns off” without sound,
9/11/21 21:10,Westbrook,CT,Cigar,1 minute,Bright circular light hovering in woods at eye level and then “turns off” without sound,
